run_at,run_id,launch,wave,sandbox_id,time_to_id_s,time_to_running_s,status,never_ran
2026-09-22T09:16:20+00:00,,1,1,d23e49bf-aaf2-49e3-b4cb-176b262a5435,3.438,,creating,"""still 'creating' after the 300s deadline"""
2026-09-22T09:16:20+00:00,,2,1,da7cf92d-6763-4a03-b4b2-9858e1886e76,2.855,3.547,running,
2026-09-22T09:16:20+00:00,,3,1,e3cf2f43-c883-45c4-b577-459d3342e580,3.293,4.07,running,
2026-09-22T09:16:20+00:00,,4,1,2f613139-f075-402a-bbea-ac0f5df41848,2.77,3.463,running,
2026-09-22T09:16:20+00:00,,5,1,73e7eef4-7b15-41fb-afd8-b7f705fde3cc,3.04,,creating,"""still 'creating' after the 300s deadline"""
2026-09-22T09:16:20+00:00,,6,2,800ad84d-854c-4d05-aadb-b4eb37864105,2.62,3.366,running,
2026-09-22T09:16:20+00:00,,7,2,86193853-68cb-462e-9ec6-4df2a1de0512,2.555,3.369,running,
2026-09-22T09:16:20+00:00,,8,2,7e3d67c1-33dd-4a59-9840-19caf6a58095,2.606,3.436,running,
2026-09-22T09:16:20+00:00,,9,2,e5d4cebc-b6a7-40d7-8ef4-a36fff511248,3.021,53.135,running,
2026-09-22T09:16:20+00:00,,10,2,c731ac33-b086-4c6e-a603-c3a8bafc954b,2.526,3.197,running,
2026-09-22T09:16:20+00:00,,11,3,4a401241-02d6-45df-a074-6e2268ad3369,3.223,12.598,running,
2026-09-22T09:16:20+00:00,,12,3,4a6bc0a2-43b6-4bc0-951a-52d93303a41c,2.936,10.472,running,
2026-09-22T09:16:20+00:00,,13,3,f2fb26a9-ca7a-450b-af47-de72ac4e1123,3.022,7.225,running,
2026-09-22T09:16:20+00:00,,14,3,6151b630-8b5d-4cee-a2f1-871f094853ee,3.142,5.62,running,
2026-09-22T09:16:20+00:00,,15,3,2fddc327-e7f3-4057-882f-20224d55cc4e,2.485,3.172,running,
2026-09-22T09:16:20+00:00,,16,4,347d7962-1e02-4a0d-80c6-4915ea306a34,2.716,3.503,running,
2026-09-22T09:16:20+00:00,,17,4,a6a4776e-bedb-4e7c-9e11-a0f19e95f5bd,2.463,3.16,running,
2026-09-22T09:16:20+00:00,,18,4,178097cb-4b86-4856-89d0-dc7e766ce29b,2.439,3.134,running,
2026-09-22T09:16:20+00:00,,19,4,641ef3ad-17a0-46c2-b0c5-e8a5e771eca6,2.966,5.422,running,
2026-09-22T09:16:20+00:00,,20,4,6feed26c-f83f-4054-bfb6-f899abffb3a2,2.993,5.382,running,
